1LL,2LL,3L,5O,5LL,6L,6LL
230.625,74.431,85.6745,106.434,123.008,95.648,100.352
255.881,66.816,74.1285,132.0955,114.873,105.5925,104.3625
,,,,,,
251.9825,74.1285,70,164.775,105.966,148.84,112.0905
,,,,,,
321.5125,68.75,57.434,158.76,116.6135,144,110.466
328.7375,64.061,53.6625,155.682,105.966,178.596,103.518
,,,,,,
363.968,87.48,48.6,144.15,115.351,177.45,103.488
,,,,,,
393.3475,55.6875,34.983,146.853,81.461,189.486,120.6
,,,,,,
450.636,82.472,26.01,186.517,75.712,239.4475,151.552
633.9375,99.0945,12.152,187.272,43.56,261.792,159.744
664.042,99.0945,0,227.8125,30.42,321.4115,177.3155
733.0995,120.9325,0,278.8425,32,397.375,221.778
,,,,,,
,,,,,,
,147.456,0,305.942,15.8565,534.578,281.6275
877.23,147.456,0,355.008,40.678,617.463,329.6
,,,,,,
1148.4375,178.5375,0,409.05,44.528,673.6715,427.734
1326.675,207.831,0,482.8375,48.6,815.36,548.352
,,,,,,
,,,,,,
,285.4035,0,561.834,66.25,948.787,602.7615
,312.666,0,696.632,68.9265,1093.75,694.575
,396.05,0,686.94,71.25,1255.919,758.16
,464.7875,0,750.2,74.1285,1426.444,810.7
,525.3515,0,812.25,90.396,1545.3375,884.352
,,,,,,
,,,,,,
,700.979,0,892.143,100.92,,1195.2
,828.478,0,,109.33,,1309.77
